method,acceptance_rate,accepted_instances,avg_assigned,avg_reward,avg_rl_assigned_before_filter,avg_rl_reward_before_filter,avg_runtime_ms,avg_unassigned,feasible_rate,n,rejected_instances,rl_filter_rule,solver_calls_saved,solver_failures,std_assigned,std_reward,std_unassigned,total_instances
greedy,,,7.86,,,,0.025050640106201172,0.14,0.88,100,,,,,0.3469870314579495,,0.34698703145794946,
random,,,7.86,,,,0.02470254898071289,0.14,0.88,100,,,,,0.3469870314579495,,0.34698703145794946,
rl_policy,,,7.86,136.73,,,2.2310948371887207,0.14,0.88,100,,,,,0.3469870314579495,21.307207700681946,0.34698703145794946,
solver,,,7.98,,,,30265.31,0.02,0.86,100,,,,0,0.13999999999999999,,0.13999999999999996,
ml_filter_solver,0.85,85,8.0,,,,30245.717647058824,0.0,1.0,85,15,,15,0,0.0,,0.0,100
rl_filter_solver,0.88,88,7.9772727272727275,,7.86,136.73,30245.170454545456,0.022727272727272728,0.9772727272727273,88,12,feasible,12,0,0.14903269373413638,,0.14903269373413638,100
