method,acceptance_rate,accepted_instances,avg_assigned,avg_reward,avg_rl_assigned_before_filter,avg_rl_reward_before_filter,avg_runtime_ms,avg_unassigned,feasible_rate,n,rejected_instances,rl_filter_rule,solver_calls_saved,solver_failures,std_assigned,std_reward,std_unassigned,total_instances
greedy,,,11.55,,,,0.06012916564941406,0.45,0.77,100,,,,,0.8170067319184096,,0.8170067319184097,
random,,,11.51,,,,0.050024986267089844,0.49,0.75,100,,,,,0.8543418519538883,,0.8543418519538883,
rl_policy,,,11.48,190.4,,,3.7511754035949707,0.52,0.74,100,,,,,0.8997777503361593,44.06835599384211,0.8997777503361594,
solver,,,11.88,,,,30214.25,0.12,0.75,100,,,,0,0.40693979898751603,,0.40693979898751603,
ml_filter_solver,0.88,88,11.897727272727273,,,,30226.875,0.10227272727272728,0.8522727272727273,88,12,,12,0,0.37049637242957056,,0.3704963724295706,100
rl_filter_solver,0.74,74,11.945945945945946,,11.48,190.4,30225.35135135135,0.05405405405405406,0.9324324324324325,74,26,feasible,26,0,0.27956974142671887,,0.2795697414267189,100
