method,acceptance_rate,accepted_instances,avg_assigned,avg_reward,avg_rl_assigned_before_filter,avg_rl_reward_before_filter,avg_runtime_ms,avg_unassigned,feasible_rate,n,rejected_instances,rl_filter_rule,solver_calls_saved,solver_failures,std_assigned,std_reward,std_unassigned,total_instances
greedy,,,11.83,,,,0.07510900497436523,0.17,0.87,100,,,,,0.375632799419859,,0.375632799419859,
random,,,11.83,,,,0.060002803802490234,0.17,0.87,100,,,,,0.375632799419859,,0.375632799419859,
rl_policy,,,11.83,204.77,,,7.402513027191162,0.17,0.87,100,,,,,0.375632799419859,28.0170858584543,0.375632799419859,
solver,,,11.99,,,,30223.18,0.01,0.83,100,,,,0,0.09949874371066199,,0.09949874371066199,
ml_filter_solver,0.83,83,12.0,,,,30217.819277108432,0.0,1.0,83,17,,17,0,0.0,,0.0,100
rl_filter_solver,0.87,87,11.988505747126437,,11.83,204.77,30220.44827586207,0.011494252873563218,0.9540229885057471,87,13,feasible,13,0,0.10659331604018049,,0.10659331604018049,100
